Year,Month Number,Month,Sales
2014,1,January,14236.895
2014,2,February,4519.892
2014,3,March,55691.009
2014,4,April,28295.345
2014,5,May,23648.287
2014,6,June,34595.1276
2014,7,July,33946.393
2014,8,August,27909.4685
2014,9,September,81777.3508
2014,10,October,31453.393
2014,11,November,78628.7167
2014,12,December,69545.6205
2015,1,January,18174.0756
2015,2,February,11951.411
2015,3,March,38726.252
2015,4,April,34195.2085
2015,5,May,30131.6865
2015,6,June,24797.292
2015,7,July,28765.325
2015,8,August,36898.3322
2015,9,September,64595.918
2015,10,October,31404.9235
2015,11,November,75972.5635
2015,12,December,74919.5212
2016,1,January,18542.490999999998
2016,2,February,22978.815
2016,3,March,51715.875
2016,4,April,38750.039000000004
2016,5,May,56987.728
2016,6,June,40344.534
2016,7,July,39261.963
2016,8,August,31115.3743
2016,9,September,73410.0249
2016,10,October,59687.745
2016,11,November,79411.9658
2016,12,December,96999.043
2017,1,January,43971.374
2017,2,February,20301.1334
2017,3,March,58872.3528
2017,4,April,36521.5361
2017,5,May,44261.1102
2017,6,June,52981.7257
2017,7,July,45264.416
2017,8,August,63120.888
2017,9,September,87866.652
2017,10,October,77776.9232
2017,11,November,118447.825
2017,12,December,83829.3188
